mu,score
0.05,0.0
0.15263157894736842,0.0
0.25526315789473686,0.0
0.35789473684210527,0.0
0.4605263157894737,0.16666666666666666
0.5631578947368422,1.6103896103896105
0.6657894736842106,1.6103896103896105
0.768421052631579,2.527056277056277
0.8710526315789474,2.527056277056277
0.9736842105263158,2.527056277056277
1.0763157894736843,2.527056277056277
1.1789473684210527,2.527056277056277
1.2815789473684212,2.527056277056277
1.3842105263157896,2.527056277056277
1.486842105263158,2.527056277056277
1.5894736842105264,2.527056277056277
1.6921052631578948,2.527056277056277
1.7947368421052632,2.527056277056277
1.8973684210526316,2.527056277056277
2.0,2.527056277056277
